"About the data: Exported on Nov 04, 2022. Criteria: '""Management 5.0"" OR ""Supply Chain 5.0"" OR ((""Smart Supply Chain"" OR “Supply chain"" OR “Production” OR “Logistic” OR “Sourcing” OR “Manufacture” OR “Manufacturing”) AND (""Industry 5.0"" OR ""Fifth Industrial Revolution"" OR ""Society 5.0""))' in title and abstract; Publication Year is 2017 or 2018 or 2019 or 2020 or 2021 or 2022 or 2023; Publication Type is Edited Book or Proceeding or Chapter or Article. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
1532,pub.1151433129,10.3390/machines10100858,,,"Secure Blockchain Middleware for Decentralized IIoT towards Industry 5.0: A Review of Architecture, Enablers, Challenges, and Directions","Resilient manufacturing is a vision in the Industry 5.0 blueprint for satisfying sustainable development goals under pandemics or the rising individualized product needs. A resilient manufacturing strategy based on the Industrial Internet of Things (IIoT) networks plays an essential role in facilitating production and supply chain recovery. IIoT contains confidential data and private information, and many security issues arise through vulnerabilities in the infrastructure. The traditional centralized IIoT framework is not only of high cost for system configuration but also vulnerable to cyber-attacks and single-point failure, which is not suitable for achieving the resilient manufacturing vision in Industry 5.0. Recently, researchers are seeking a secure solution of middleware based on blockchain technology integration for decentralized IIoT, which can effectively protect the consistency, integrity, and availability of IIoT data by utilizing the auditing and tamper-proof features of the blockchain. This paper presented a review of secure blockchain middleware for decentralized IIoT towards Industry 5.0. Firstly, the security issues of conventional IIoT solutions and the advantages of blockchain middleware are analyzed. Secondly, an architecture of secure blockchain middleware for decentralized IIoT is proposed. Finally, enabling technologies, challenges, and future directions are reviewed. The innovation of this paper is to study and discuss the distributed blockchain middleware, investigating its ability to eliminate the risk of a single point of failure via a distributed feature in the context of resilient manufacturing in Industry 5.0 and to solve the security issues from traditional centralized IIoT. Also, the four-layer architecture of blockchain middleware presented based on the IIoT application framework is a novel aspect of this review. It is expected that the paper lays a solid foundation for making IIoT blockchain middleware a new venue for Industry 5.0 research.",,Machines,,,2022-09-26,2022,2022-09-26,,10,10,858,All OA; Gold,Article,"Leng, Jiewu; Chen, Ziying; Huang, Zhiqiang; Zhu, Xiaofeng; Su, Hongye; Lin, Zisheng; Zhang, Ding","Leng, Jiewu (); Chen, Ziying (); Huang, Zhiqiang (); Zhu, Xiaofeng (); Su, Hongye (); Lin, Zisheng (); Zhang, Ding ()",,"Leng, Jiewu (); Chen, Ziying (); Huang, Zhiqiang (); Zhu, Xiaofeng (); Su, Hongye (); Lin, Zisheng (); Zhang, Ding ()",0,0,,,https://www.mdpi.com/2075-1702/10/10/858/pdf?version=1664197399,https://app.dimensions.ai/details/publication/pub.1151433129,40 Engineering; 4014 Manufacturing Engineering,"9 Industry, Innovation and Infrastructure"
1531,pub.1145684995,10.3390/asi5010027,,,State of Industry 5.0—Analysis and Identification of Current Research Trends,"The term Industry 4.0, coined to be the fourth industrial revolution, refers to a higher level of automation for operational productivity and efficiency by connecting virtual and physical worlds in an industry. With Industry 4.0 being unable to address and meet increased drive of personalization, the term Industry 5.0 was coined for addressing personalized manufacturing and empowering humans in manufacturing processes. The onset of the term Industry 5.0 is observed to have various views of how it is defined and what constitutes the reconciliation between humans and machines. This serves as the motivation of this paper in identifying and analyzing the various themes and research trends of what Industry 5.0 is using text mining tools and techniques. Toward this, the abstracts of 196 published papers based on the keyword “Industry 5.0” search in IEEE, science direct and MDPI data bases were extracted. Data cleaning and preprocessing were performed for further analysis to apply text mining techniques of key terms extraction and frequency analysis. Further topic mining i.e., unsupervised machine learning method was used for exploring the data. It is observed that the terms artificial intelligence (AI), big data, supply chain, digital transformation, machine learning, internet of things (IoT), are among the most often used and among several enablers that have been identified by researchers to drive Industry 5.0. Five major themes of Industry 5.0 addressing, supply chain evaluation and optimization, enterprise innovation and digitization, smart and sustainable manufacturing, transformation driven by IoT, AI, and Big Data, and Human-machine connectivity were classified among the published literature, highlighting the research themes that can be further explored. It is observed that the theme of Industry 5.0 as a gateway towards human machine connectivity and co-existence is gaining more interest among the research community in the recent years.",,Applied System Innovation,,,2022-02-17,2022,2022-02-17,,5,1,27,All OA; Gold,Article,"Akundi, Aditya; Euresti, Daniel; Luna, Sergio; Ankobiah, Wilma; Lopes, Amit; Edinbarough, Immanuel","Akundi, Aditya (); Euresti, Daniel (); Luna, Sergio (); Ankobiah, Wilma (); Lopes, Amit (); Edinbarough, Immanuel ()",,"Akundi, Aditya (); Euresti, Daniel (); Luna, Sergio (); Ankobiah, Wilma (); Lopes, Amit (); Edinbarough, Immanuel ()",13,13,,,https://www.mdpi.com/2571-5577/5/1/27/pdf?version=1645093600,https://app.dimensions.ai/details/publication/pub.1145684995,40 Engineering; 4014 Manufacturing Engineering,"9 Industry, Innovation and Infrastructure"
1514,pub.1138873179,10.15282/jgi.4.2.2021.5948,,,Integrity in Halal Food Supply Chain Towards the Society 5.0,"Recent integrity issues related to halal product is alarming. While the literature has introduced Industry 4.0 technologies, the reality in the food industry especially halal related product shows disparity in the contribution of scholars to real-world issue. The disparity between both literature and industry is due to information integration. The issue related to information integration can be solved through Society 5.0 where human and technology are connected through information management, monitoring, and control. Nevertheless, studies related to Society 5.0 are limited and isolated to social and technology area since the concept is still new in the literature. However, the advantages of integrating Industry 4.0 and Society 5.0 are able in ensuring integrity in food supply chain especially related to halal. Thus, the objective of this paper is to propose a model based on Society 5.0 to provide solution to food integrity in the supply chain. This study has undertaken extensive literature review related to Society 5.0 and integrity practices. The outcome of the paper proposed a model that links Society 5.0 and Industry 4.0 technologies to help organisation manage halal food in the supply chain with integrity as its measurements. The model proposed in this study is useful for any organisation to adopt halal supply chain and understand how to implement Industry 4.0 as well as managing information through Society 5.0.",,Journal of Governance and Integrity,,,2021-03-20,2021,2021-03-20,,4,2,103-114,All OA; Hybrid,Article,"Fernando, Yudi; Saedan, Raidah; Shaharudin, Muhammad Shabir; Mohamed, Ahmed","Fernando, Yudi (); Saedan, Raidah (); Shaharudin, Muhammad Shabir (); Mohamed, Ahmed ()",,"Fernando, Yudi (); Saedan, Raidah (); Shaharudin, Muhammad Shabir (); Mohamed, Ahmed ()",4,4,,,https://journal.ump.edu.my/jgi/article/download/5948/1366,https://app.dimensions.ai/details/publication/pub.1138873179,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains; 46 Information and Computing Sciences; 4609 Information Systems",2 Zero Hunger
1493,pub.1142043501,10.1007/978-3-030-77070-9_2,,,Impact of Internet of Things on Logistics Management: A Framework for Logistics Information System,"A logistics is the movement of goods and services in supply chain to provide facilities and distribution options of movement of products, information of products, and distribution of products from suppliers to customers. The new Industry 5.0 has a positive impact on the performance of the logistics. Logistics information system is a root of supply chain to collect the information related to products and track the information and services related to the products in a supply chain manner. A sound logistics information system can lead to cost reduction and can also improve customer satisfaction. However, research on IoT adoption in logistics is acceptance of IoT into supply chain services in specific has been rhetoric. IoT creates far-reaching payoffs for all the operations of logistics among the suppliers and customers. This benefit extends across the entire logistics information system, including inventory, transportation, and delivery system with better efficiency, security, and safety. This chapter is drawn upon the organizational capability theory for developing effects of IoT on logistics management and in turn improves logistics information system as well as organizational performance.",,,Artificial Intelligence for a Sustainable Industry 4.0,,2021-10-22,2021,2021-10-22,2021,,,19-30,Closed,Chapter,"Dubey, Shivani; Singhal, Vikas","Dubey, Shivani (Department of Computer Science & Engineering, Lingaya’s Vidyapeeth, Faridabad, Haryana, India); Singhal, Vikas (Department of Computer Science & Engineering, Lingaya’s Vidyapeeth, Faridabad, Haryana, India)","Dubey, Shivani (Lingaya's Vidyapeeth)","Dubey, Shivani (Lingaya's Vidyapeeth); Singhal, Vikas (Lingaya's Vidyapeeth)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1142043501,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains; 46 Information and Computing Sciences; 4609 Information Systems","9 Industry, Innovation and Infrastructure"
1482,pub.1144321687,10.1007/978-981-16-7365-8_8,,,From Industry 4.0 to Industry 5.0—An Overview of European Union Enterprises,"Industry 4.0 refers to the transformation of industry through the adoption of techniques and processes based on information and communication technologies (ICT) to manage and optimize all aspects of the manufacturing processes and supply chain. Even if Industry 4.0 adoption has significant advantages for companies in terms of increased productivity and decreased costs, it also raises various challenges for companies. At the same time, more and more experts start to voice their concerns regarding Industry 4.0 and discuss the advent of Industry 5.0 with a focus on sustainability as opposed to productivity. During the discussions regarding Industry 5.0 and the necessity of an improved collaboration between humans and technological systems, it is relevant to evaluate the way companies from the manufacturing sector are adopting Industry 4.0, considering all the challenges and costs imposed by the process. The present study aims at providing an overview regarding the presence of the Industry 4.0 elements in European Union manufacturing companies using publicly available data from the European Statistical Office.",,Advances in Sustainability Science and Technology,Sustainability and Innovation in Manufacturing Enterprises,,2022-01-01,2022,2022-01-01,2022,,,221-231,Closed,Chapter,"Alexa, Lidia; Pîslaru, Marius; Avasilcăi, Silvia","Alexa, Lidia (“Gheorghe Asachi” Technical University of Iasi, Engineering and Management Department, Iasi, Romania); Pîslaru, Marius (“Gheorghe Asachi” Technical University of Iasi, Engineering and Management Department, Iasi, Romania); Avasilcăi, Silvia (“Gheorghe Asachi” Technical University of Iasi, Engineering and Management Department, Iasi, Romania)","Pîslaru, Marius (Gheorghe Asachi Technical University of Iași)","Alexa, Lidia (Gheorghe Asachi Technical University of Iași); Pîslaru, Marius (Gheorghe Asachi Technical University of Iași); Avasilcăi, Silvia (Gheorghe Asachi Technical University of Iași)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1144321687,40 Engineering; 4014 Manufacturing Engineering,"9 Industry, Innovation and Infrastructure"
1464,pub.1149030651,10.1109/access.2022.3186892,,,"Blockchain for Industry 5.0: Vision, Opportunities, Key Enablers, and Future Directions","Industry 4.0 have witnessed a paradigm shift from cyber-physical systems (CPS) that aims at massive automation, to a more customer-driven approach. The shift has been attributed to the design of hyper-cognitive systems, integration of virtual and extended reality, digital machinery prototyping and twin designs, trusted machine boundaries, collaborative robots, and artificial intelligence (AI)-based supply chains. This new wave, termed Industry 5.0, is expected to leverage massive production with user-centric customization outside the scope of Industry 4.0 ecosystems. Industry 5.0 is expected to assist diverse industrial verticals like healthcare, smart farming, drones, smart grids, and supply chain production ecosystems. However, data is shared among multiple heterogeneous networks, spanning different authoritative domains. Thus, trusted and secured data transfer is crucial to synergize and secure the industrial perimeters. Blockchain (BC) is a preferred choice as a security enabler to Industry 5.0 ecosystems owing to its inherent property of immutability, chronology, and auditability in industrial systems. Limited works are proposed that present the vision and holistic view of BC-assisted Industry 5.0 applications. The article presents a first-of-its-kind survey on BC as a security enabler in Industry 5.0. Based on a descriptive survey methodology and research questions, we presented the key drivers, and potential applications, and propose an architectural vision of BC-based Industry 5.0 in diverse applicative verticals. The survey intends to present solutions that would assist industry practitioners, academicians, and researchers to drive novel BC-assisted solutions in Industry 5.0 verticals.",,IEEE Access,,,2022-01-01,2022,2022-06-28,2022-01-01,10,,69160-69199,All OA; Gold,Article,"Verma, Ashwin; Bhattacharya, Pronaya; Madhani, Nirav; Trivedi, Chandan; Bhushan, Bharat; Tanwar, Sudeep; Sharma, Gulshan; Bokoro, Pitshou N.; Sharma, Ravi","Verma, Ashwin (Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, 382481, India); Bhattacharya, Pronaya (Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, 382481, India); Madhani, Nirav (Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, 382481, India); Trivedi, Chandan (Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, 382481, India); Bhushan, Bharat (School of Engineering and Technology, Sharda University, Greater Noida, 201310, India); Tanwar, Sudeep (Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, 382481, India); Sharma, Gulshan (Department of Electrical Engineering Technology, University of Johannesburg, Johannesburg, 2006, South Africa); Bokoro, Pitshou N. (Department of Electrical Engineering Technology, University of Johannesburg, Johannesburg, 2006, South Africa); Sharma, Ravi (Centre for Inter-Disciplinary Research and Innovation, University of Petroleum and Energy Studies, Dehradun, 248001, India)","Tanwar, Sudeep (Nirma University)","Verma, Ashwin (Nirma University); Bhattacharya, Pronaya (Nirma University); Madhani, Nirav (Nirma University); Trivedi, Chandan (Nirma University); Bhushan, Bharat (Sharda University); Tanwar, Sudeep (Nirma University); Sharma, Gulshan (University of Johannesburg); Bokoro, Pitshou N. (University of Johannesburg); Sharma, Ravi (University of Petroleum and Energy Studies)",1,1,,,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09809962.pdf,https://app.dimensions.ai/details/publication/pub.1149030651,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy,"9 Industry, Innovation and Infrastructure"
1456,pub.1122097745,10.1016/j.procs.2019.09.104,,,Industry 5.0 and Human-Robot Co-working,"According to many, we are at the brink of the fourth industrial revolution. The theme of Industry 4.0 is ""Smart Manufacturing for the Future"". Now, some futurists even discuss what the fifth industrial revolution’s theme will be. There are a few visions for Industry 5.0. One emerging theme is human-robot co-working. In recent years, we have seen significant advancements in robotics and artificial intelligence (AI) research. Today, there are robots for various purposes at affordable prices in the market. It is not long before we closely interact with robots in our lives and workplaces. Testing autonomous cars in traffic is a promising example of this upcoming trend. There are companies having an employee record for robots or AI applications. While there are many studies on human-robot collaboration for low-level tasks with a focus on robot development, we lack studies focusing on organizational issues emerging from human-robot co-working. In this study, we discuss the possible issues related to human-robot co-working from the organizational and human employee’s perspective. We believe the issues identified in this study will be the focus of many upcoming organizational robotics research studies.",,Procedia Computer Science,,,2019,2019,,2019,158,,688-695,All OA; Gold,Article,"Demir, Kadir Alpaslan; Döven, Gözde; Sezen, Bülent","Demir, Kadir Alpaslan (Graduate School of Social Sciences, Gebze Technical University, Gebze, Kocaeli, 41400, Turkey); Döven, Gözde (Graduate School of Social Sciences, Gebze Technical University, Gebze, Kocaeli, 41400, Turkey); Sezen, Bülent (Department of Management, Gebze Technical University, Gebze, Kocaeli, 41400, Turkey)",,"Demir, Kadir Alpaslan (Gebze Technical University); Döven, Gözde (Gebze Technical University); Sezen, Bülent (Gebze Technical University)",143,128,,65.13,https://doi.org/10.1016/j.procs.2019.09.104,https://app.dimensions.ai/details/publication/pub.1122097745,46 Information and Computing Sciences; 4608 Human-Centred Computing,"9 Industry, Innovation and Infrastructure"
1453,pub.1139147573,10.2478/mspe-2021-0028,,,Managing a Sustainable Supply Chain – Statistical Analysis of Natural Resources in the Furniture Industry,"Abstract Managing a sustainable supply chain is a concept related to many areas of the economy. Its efficient functioning depends on the implementation of SDG activities and the development of industry (first-fourth/fifth industrial revolution). Due to the likelihood of different priorities in the implementation of the sustainable development goals, it is important to build such relationships, e.g. in the supply chain, so that their implementation could take place under similar conditions. Digitization, or the circular economy concept (CE), create an opportunity for the SME sector to build relationships as part of industry networks, for instance, where the managed supply chain would have a common and realistic goal to achieve. This goal will be a priority in business models based on sustainable development. The article presents the results of research regarding the furniture industry in Poland (key industry, referred to as smart specialization). The results of the analysis show that the industry has a large production potential, and the natural resources used in it are constantly increasing. However, there are doubts raised by the lack of stability in the dynamics of the sold production in the industry. Ultimately, the business model of the industry supply chain should focus on the environmental aspect (sustainable management of the raw material supply chain) and on eco-friendly consumption (sustainable management of the product supply chain), so that it can be managed in a sustainable way.",,Management Systems in Production Engineering,,,2021-06-24,2021,2021-06-24,2021-09-01,29,3,227-234,All OA; Gold,Article,"Wiśniewska-Sałek, Anna","Wiśniewska-Sałek, Anna (Czestochowa University of Technology)","Wiśniewska-Sałek, Anna (Częstochowa University of Technology)","Wiśniewska-Sałek, Anna (Częstochowa University of Technology)",3,3,,,https://www.sciendo.com/pdf/10.2478/mspe-2021-0028,https://app.dimensions.ai/details/publication/pub.1139147573,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains","12 Responsible Consumption and Production; 9 Industry, Innovation and Infrastructure"
1425,pub.1140000190,10.1007/978-3-030-80906-5,,,"Service Oriented, Holonic and Multi-Agent Manufacturing Systems for Industry of the Future, Proceedings of SOHOMA LATIN AMERICA 2021","This book approaches its subject matter by promoting concepts, methods and solutions for the digital transformation of manufacturing through service orientation in holonic and agent-based control with distributed intelligence. The scientific theme of the book concerns “Manufacturing as a Service”, developed by virtualizing and encapsulating manufacturing resources, activities and controls into cloud networked services in an open perspective that spans models from shop floor resource allocation to enterprise infrastructure sharing. The papers included in the application space have a profound human dedication and aim at solving societal needs serving the partnership of the future—people and industry in the era of Society 5.0. The book’s readership includes researchers and engineers working in manufacturing, supply chains and logistics areas who innovate, develop and use digital control solutions and students enrolled in Engineering and Service Science programs.",,Studies in Computational Intelligence,,,2021,2021,,2021,987,,,All OA; Green,Edited Book,,,,,0,0,,,https://link.springer.com/content/pdf/bfm%3A978-3-030-80906-5%2F1,https://app.dimensions.ai/details/publication/pub.1140000190,40 Engineering; 4014 Manufacturing Engineering,"9 Industry, Innovation and Infrastructure"
1393,pub.1144794026,10.1109/ieem50564.2021.9672864,,,Production Management in Norwegian Manufacturing Industry: The Implications of “The Norwegian Work Life Model”,"The Norwegian work environments are substantially influenced by the “The Norwegian Work Life Model” characterized by empowered workers with larger autonomy and responsibility, high-level trust, and continuous development of skills and competences. This paper addresses The Norwegian Work Life Model and its importance as the foundation for Industry 5.0 within the scope of Production Management and the selected topics Production Strategy, Production Logistics and Product Development. The benefits and challenges of the model is discussed, providing useful insights and learnings. Six industrial research projects with Norwegian manufacturing companies are listed to exemplify the implications of the model on the production management.","This paper is funded by SINTEF, the leading competence center in Norway and one of Europe&#x27;s largest independent research organizations. The study took part as part of the strategic program of SINTEF for defining priority areas of research and development in Norway.",,2021 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),,2021-12-16,2021,,2021-12-16,00,,1407-1411,Closed,Proceeding,"Arica, E.; Røstad, C. C.; Henriksen, B.; Hareide, E. J.; Andersen, T. K.","Arica, E. (SINTEF Manufacturing, Horten, Norway); Røstad, C. C. (SINTEF Digital, Trondheim, Norway); Henriksen, B. (SINTEF Digital, Trondheim, Norway); Hareide, E. J. (SINTEF Manufacturing, Horten, Norway); Andersen, T. K. (SINTEF Digital, Trondheim, Norway)",,"Arica, E. (); Røstad, C. C. (SINTEF); Henriksen, B. (SINTEF); Hareide, E. J. (); Andersen, T. K. (SINTEF)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1144794026,"35 Commerce, Management, Tourism and Services; 3505 Human Resources and Industrial Relations; 40 Engineering; 4014 Manufacturing Engineering","9 Industry, Innovation and Infrastructure"
1381,pub.1145755511,10.1109/tii.2022.3152809,,,An Intelligent Classification Diagnosis based on Blood Oxygen Saturation Signals for Medical Data Supply Chain Including COVID-19 in Industry 5.0,"Obstructive sleep apnea-hypopnea syndrome (OSAHS) has been gradually valued due to its high prevalence, high risk, and high mortality. This article is to find an alternative to the polysomnography (PSG) OSAHS diagnosis method and assesses the subject's degree of illness considering the supply chain and Industry 5.0 requirement, efficiently, accurately and easily. The blood oxygen saturation (SpO2) signal is used to count the number of apnea or hypoventilation events. It extracts 35-dimensional features based on the time domain to enhance the process resilience, including approximate entropy, Centralized Trend Measurement (CTM), and LZ complexity for the diagnosis process in supply chains. This article summarizes the Oxygen Desaturation Index (ODI) characteristics. The feature selection process is reduced from 35 to 7 dimensions and benefits the implementation in the practical supply chains in industry 5.0. A 92% accuracy rate is reached in assessing the prevalence of OSAHS, satisfying the industrial deployment.",,IEEE Transactions on Industrial Informatics,,,2022-02-22,2022,2022-02-22,,PP,99,1-1,Closed,Article,"Zhang, Mingdong; Dong, Chaoyu; Zhang, Dongming; Tseng, Ming-Lang; Wei, Jianguo; Xiong, Naixue","Zhang, Mingdong (College of intelligence and Computing, Tianjin University, 12605 Tianjin, Tianjin, China, 300072); Dong, Chaoyu (Singapore, Please select, Singapore, 637141); Zhang, Dongming (Agricultural Bank of China, 365384 Tianjin, China, 300074); Tseng, Ming-Lang (Institute of Innovation and Circular Economy, Asia University, 63267 Taiwan, 41354); Wei, Jianguo (Tianjin, China, 300350); Xiong, Naixue (C. S., Colorado Technical University, 2607 Colorado Springs, Colorado, United States, 80907)",,"Zhang, Mingdong (Tianjin University); Dong, Chaoyu (); Zhang, Dongming (Agricultural Bank of China); Tseng, Ming-Lang (Asian University); Wei, Jianguo (); Xiong, Naixue ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1145755511,40 Engineering; 46 Information and Computing Sciences,"9 Industry, Innovation and Infrastructure"
1368,pub.1145475395,10.1109/tem.2022.3143466,,,Moving Towards Industry 5.0 in the Pharmaceutical Manufacturing Sector: Challenges and Solutions for Germany,"Emergence of industry 5.0 facilitates real-time synchronisation of production processes, which helps with the production of customized products. Although industry 5.0 can revolutionize the landscape of goods production, still its adoption is in the infancy stage. Hence, the purpose of this article is to examine barriers that impede the adoption of industry 5.0, and to propose solution initiatives (SIs). After an in-depth literature review and interviews with German industry experts in pharmaceutical sector, barriers and SIs are ranked using an integrated Analytical hierarchy process-elimination and choice expressing reality-decision-making trial and evaluation laboratory (AHP-ELECTRE-DEMATEL) approach. “Linking virtual reality and reality” is found to be the most critical deterrent to the adoption of industry 5.0, and falls into a causal group, which signifies their influence on other deterrents. “Measures for better connectivity with patients” is of utmost importance for German firms to ensure secure communication and safeguard patient data. The findings also highlight the problems with the adoption of high-tech innovations due to lack of standardization and fair benchmarking policies on industry 5.0. This article concludes by proposing an industry 5.0 framework. The inhibitors to adopting industry 5.0 were investigated in this article, the results of which will assist practitioners and decision makers to understand the issues with industry 5.0. The results of this article will help potential adopters of this technology to look for the SIs. This will therefore pave the path for effective adoption of industry 5.0 across the pharmaceutical manufacturing sector.",,IEEE Transactions on Engineering Management,,,2022-02-11,2022,2022-02-11,,PP,99,1-18,Closed,Article,"Sharma, Mahak; Sehrawat, Rajat; Luthra, Sunil; Daim, Tugrul; Bakry, Dana","Sharma, Mahak (Birla Institute of Management Technology, (BIMTECH), Greater Noida, Uttar Pradesh 201306 India.); Sehrawat, Rajat (Booking.com BV 1017 CE, Amsterdam The Netherlands.); Luthra, Sunil (Department of Mechanical Engineering, Ch. Ranbir Singh State Institute of Engineering and Technology, Jhajjar, 124103 Haryana India, and also with the Centre for Supply Chain Improvement, University of Derby, DE22 1ZS Derby U.K.); Daim, Tugrul (Portland State University, Portland, OR 97201 USA, and also with the Chaoyang University of Technology, Taichung, 413310 Taiwan.); Bakry, Dana (Portland State University, Portland, OR 97201 USA.)",,"Sharma, Mahak (Institute of Management Technology); Sehrawat, Rajat (); Luthra, Sunil (University of Derby); Daim, Tugrul (Portland State University; Chaoyang University of Technology); Bakry, Dana (Portland State University)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1145475395,"35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour","9 Industry, Innovation and Infrastructure"
1366,pub.1151377280,10.1016/j.iot.2022.100623,,,How is Extended Reality Bridging Human and Cyber-Physical Systems in the IoT-Empowered Logistics and Supply Chain Management?,"Due to the rapid development of the Internet of Things (IoT), logistics and supply chain operations have been digitally transformed. Physical objects are interconnected to perform real-time monitoring and decision support through cyber-physical systems. Besides machine-to-machine communications, humans play an essential role in IoT-empowered supply chain operations to monitor and configure IoT devices and interact with IoT systems for enhanced industrial intelligence. Extended reality (XR) technologies are exploited for immersive visualisation to strengthen the connectivity between human and cyber-physical systems. However, the role and development of XR in the IoT-empowered supply chain scenarios are not revealed. Therefore, this article attempts to introduce readers to the latest XR technologies and summarise significant research opportunities/challenges raised by the current literature to facilitate further interest in this topic. The systematic literature review process analysed 71 research articles from 1,207 relevant publications using text mining models, including the bag of words (BoW) and LexRank algorithms. Consequently, the article synthesises emerging XR solutions for human-cyber-physical interaction to guide the next-generation XR research for logistics and supply chain management. At the same time, human-centricity can be emphasised in future research agendas for Industry 5.0.",None,Internet of Things,,,2022-11,2022,,2022-11,20,,100623,All OA; Hybrid,Article,"Tsang, Y.P.; Yang, T.T.; Chen, Z.S.; Wu, C.H.; Tan, K.H.","Tsang, Y.P. (Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong SAR); Yang, T.T. (Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong SAR); Chen, Z.S. (School of Civil Engineering, Wuhan University, Wuhan, 430072, China); Wu, C.H. (Department of Supply Chain and Information Management, The Hang Seng University of Hong Kong, Hong Kong SAR); Tan, K.H. (Department of Operations Management and Information Systems, Nottingham University, Nottingham, NG8 1BB, UK)","Wu, C.H. ","Tsang, Y.P. (Hong Kong Polytechnic University); Yang, T.T. (Hong Kong Polytechnic University); Chen, Z.S. (Wuhan University); Wu, C.H. (); Tan, K.H. (University of Nottingham)",0,0,,,https://doi.org/10.1016/j.iot.2022.100623,https://app.dimensions.ai/details/publication/pub.1151377280,46 Information and Computing Sciences; 4605 Data Management and Data Science; 4609 Information Systems,"9 Industry, Innovation and Infrastructure"
1352,pub.1128220988,10.1007/978-3-030-50794-7_18,,,Industry 4.0+: The Next Level of Intelligent and Self-optimizing Factories,"For almost a decade now, production science has been dealing with Industry 4.0. In recent years, a large number of technological innovations have been developed and introduced into practice, enabling the implementation of smart and connected manufacturing systems. Over the next years, researchers and practitioners will face new challenges in Industry 4.0 to achieve the original vision of an intelligent and self-optimizing factory. We are currently at a crossroads between the first level of Industry 4.0, which was characterized by technologically driven innovations, and a future level of Industry 4.0+, which will be based on data-driven innovation. This article introduces these two phases of Industry 4.0 and gives a direction of research trends with growing attention in manufacturing science and practice. In the context of Industry 4.0+, two research directions, in particular, are expected to generate groundbreaking changes in production and its environment. This is, on the one hand, the introduction of Artificial Intelligence into manufacturing and on the other hand the use of nature as inspiration in the form of Biological Transformation.",This project has received funding from the European Union’s Horizon 2020 research and innovation program under the Marie Skłodowska-Curie grant agreement No 734713 (SME 4.0 – Industry 4.0 for SMEs).,Lecture Notes in Mechanical Engineering,"Advances in Design, Simulation and Manufacturing III",,2020-06-05,2020,2020-06-05,2020,,,176-186,Closed,Chapter,"Rauch, Erwin","Rauch, Erwin (Free University of Bolzano, 1, Universitätsplatz, 39100, Bolzano, Italy)","Rauch, Erwin (Free University of Bozen-Bolzano)","Rauch, Erwin (Free University of Bozen-Bolzano)",12,11,,5.19,,https://app.dimensions.ai/details/publication/pub.1128220988,40 Engineering; 4014 Manufacturing Engineering,"9 Industry, Innovation and Infrastructure"
