id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
40	fourth industrial revolution	-0.5056	-0.0821	1	100	508	62	2020.5484
41	government	-0.9317	-0.3035	1	93	438	48	2020.25
42	healthcare	0.3053	0.7982	2	85	449	38	2021.3947
43	human	0.1677	-0.518	3	106	1040	127	2021.2047
44	human robot collaboration	0.9333	-0.9108	3	53	191	22	2021.6364
45	identification	0.5102	0.6485	2	93	479	37	2021.1351
46	iiot	-0.0562	1.247	4	62	243	25	2021.32
47	importance	-0.3394	-0.8407	1	95	448	52	2021.1538
48	improvement	0.776	-0.2544	2	101	643	55	2021.3091
49	industrial internet	-0.198	1.1153	4	77	306	38	2021.3158
50	industrial revolution	-0.926	-0.1931	1	104	725	99	2020.7071
51	influence	-0.0105	-0.7086	3	75	253	36	2021.2778
52	information technology	-0.4611	0.6135	4	77	198	24	2020.5833
53	interaction	0.3007	-0.1477	3	108	799	100	2021.27
54	internet	-0.3766	0.6366	4	107	1095	117	2021.0256
55	iot	-0.1865	0.7911	4	104	822	90	2021.0333
56	knowledge	-0.6031	-0.244	1	103	634	81	2020.6543
57	learning	0.1616	-0.0997	2	102	631	70	2021.2571
58	life	-0.9307	0.0939	1	102	681	89	2020.3146
59	logistic	0.4819	0.7679	2	95	475	42	2020.9762
60	machine	0.0767	0.1668	4	107	786	92	2021.2935
61	machine learning	-0.3021	0.7926	4	70	219	25	2021.08
62	manufacturing industry	-0.1134	0.1577	1	83	291	44	2021.2273
63	manufacturing sector	-0.3437	-0.3291	1	70	207	32	2021.3125
64	network	0.0952	0.5674	4	107	1004	106	2021.066
65	operation	0.6961	0.2349	2	104	631	53	2021.3208
66	operator	1.1069	-0.2486	3	96	657	62	2021.3871
67	optimization	1.0081	0.0646	2	90	554	48	2021.2292
68	pandemic	-0.7064	0.1881	1	90	377	44	2021.5227
69	paradigm	0.5097	-0.2053	2	104	826	86	2021.1279
70	performance	0.5115	0.168	2	103	870	102	2021.4216
71	person	-0.5747	-0.0898	1	105	692	89	2020.5843
72	platform	0.0531	0.4661	2	102	586	60	2020.9
73	potential	-0.1165	-0.6714	1	87	296	40	2021.075
74	practice	-0.7688	-0.1035	1	92	391	66	2020.803
75	processing	-0.5807	0.6483	4	82	287	34	2020.8235
76	production process	0.2947	-0.4623	3	99	429	50	2021.18
77	production system	0.9007	-0.2633	2	85	386	35	2021.3143
78	productivity	0.2799	-0.2714	3	106	598	63	2021.1111
79	project	-0.4871	-0.3316	1	96	426	53	2020.5849
80	reality	0.2051	-0.4595	3	100	607	70	2021.1286
81	relationship	-0.4776	-0.8258	1	86	341	53	2020.8113
82	reliability	-0.2926	0.1927	4	70	209	27	2020.8889
83	resilience	0.9113	-0.0042	2	89	430	39	2021.4872
84	revolution	-0.424	0.2273	1	99	536	70	2020.8286
85	risk	0.5902	0.4159	2	96	463	41	2020.6829
86	robot	0.7266	-0.3546	3	104	842	76	2021.0263
87	robotic	0.4825	-0.1007	2	104	808	72	2020.8889
88	safety	0.5448	-0.7866	3	84	315	32	2021.3125
89	science	-0.8259	0.2278	1	96	452	61	2020.541
90	sensor	0.2455	0.5982	4	98	429	46	2021.0435
91	simulation	1.0944	0.4691	2	84	450	42	2021.619
92	skill	-0.3334	-0.7514	1	101	550	64	2020.9531
93	smart manufacturing	0.7001	0.757	2	90	474	48	2020.9167
94	strategy	-0.7651	0.061	1	108	946	107	2020.7383
95	structure	-0.6186	0.0761	1	96	463	59	2020.7288
96	student	-0.7582	-0.609	1	77	277	47	2020.7872
97	super smart society	-0.9517	0.7361	1	58	185	21	2020.381
98	supply chain	0.1905	0.3789	2	105	770	90	2021.3778
99	supply chain management	0.9845	0.7619	2	73	334	27	2021.4444
100	support	0.1841	0.6908	2	100	422	41	2021.122
101	sustainability	0.4747	-0.4025	2	103	892	98	2021.3469
102	sustainable development	-0.4651	-0.5021	1	87	369	38	2021.3947
103	task	0.6759	-0.7017	3	90	475	54	2021.2778
104	technological innovation	-0.8863	-0.0146	1	81	270	26	2020.8462
105	thing	-0.2047	0.8544	4	105	1115	119	2021.0924
106	training	-0.3055	-0.6466	1	84	268	33	2021.1515
107	transition	-0.5379	-0.588	1	95	476	67	2021.2836
108	uncertainty	0.6702	0.0757	2	86	351	27	2020.9259
109	user	-0.056	-0.1087	3	89	326	40	2021.125
110	worker	0.5511	-0.8879	3	83	454	64	2021.1406
